,stm_bus_stop_cancelled_moved_relocated_id,stm_bus_stop_id,stm_bus_stop_code,stm_bus_stop_cancelled_moved_relocated_date,stm_bus_stop_cancelled_moved_relocated_reason
0,1,52456,52456,2024-11-10,"This stop is cancelled due to roadworks, from November 10 2024 at 07h16 until the end of the roadworks."
1,2,54351,54351,2023-06-02,"This stop is cancelled due to a situation beyond our control, from June 2 2023 at 14h01 for an indefinite period."
2,3,55760,55760,2024-11-04,"This stop is cancelled due to roadworks, from November 4 2024 at 09h29 until the end of the roadworks."
3,4,51885,51885,2024-06-14,"This stop is cancelled due to roadworks, from June 14 2024 at 10h19 until the end of the roadworks."
4,5,51851,51851,2024-05-31,"This stop is cancelled due to roadworks, from May 31 2024 at 00h00 until the end of the roadworks."
5,6,51372,51372,2024-10-31,"This stop is cancelled due to roadworks, from October 31 2024 at 09h10 until the end of the roadworks."
6,7,61620,61620,2024-04-17,"This stop is cancelled due to a situation beyond our control, from April 17 2024 at 07h07 for an indefinite period."
7,8,62160,62160,2024-11-18,"This stop is cancelled due to roadworks, from November 18 2024 at 09h40 until the end of the roadworks."
8,9,53207,53207,2024-11-18,"This stop is cancelled due to a situation beyond our control, from November 18 2024 at 06h00 until December 31 2024 at 09h00."
9,10,61968,61968,2023-11-13,"This stop is cancelled due to roadworks, from November 13 2023 at 06h29 until the end of the roadworks."
10,11,51563,51563,2024-11-07,"This stop is cancelled due to roadworks, from November 7 2024 at 14h16 until the end of the roadworks."
11,12,61640,61640,2024-07-08,"This stop is cancelled due to roadworks, from July 8 2024 at 10h25 until the end of the roadworks."
12,13,51359,51359,2024-11-18,"This stop is cancelled due to roadworks, from November 18 2024 at 10h25 until the end of the roadworks."
13,14,52350,52350,2024-11-20,"This stop is cancelled due to roadworks, from November 20 2024 at 14h16 until the end of the roadworks."
14,15,52397,52397,2024-11-25,"This stop is cancelled due to road conditions, from November 25 2024 at 08h37 for an indefinite period."
15,16,60726,60726,2024-09-18,"This stop is cancelled due to roadworks, from September 18 2024 at 16h36 until the end of the roadworks."
16,17,56184,56184,2024-03-05,"This stop is cancelled due to roadworks, from March 5 2024 at 08h17 until the end of the roadworks."
17,18,62194,62194,2024-05-10,"This stop is cancelled due to a situation beyond our control, from May 10 2024 at 09h38 for an indefinite period."
18,19,50300,50300,2024-11-21,"This stop is cancelled due to roadworks, from November 21 2024 at 13h21 until the end of the roadworks."
19,20,50294,50294,2024-11-20,"This stop is cancelled due to roadworks, from November 20 2024 at 15h03 until the end of the roadworks."
20,21,51149,51149,2024-09-12,"This stop is cancelled due to roadworks, from September 12 2024 at 08h46 until the end of the roadworks."
21,22,50303,50303,2024-08-14,"This stop is cancelled due to roadworks, from August 14 2024 at 10h20 until the end of the roadworks."
22,23,52408,52408,2024-10-23,"This stop is cancelled due to roadworks, from October 23 2024 at 00h00 until the end of the roadworks."
23,24,62242,62242,2024-09-25,"This stop is cancelled due to a situation beyond our control, from September 25 2024 at 09h57 for an indefinite period."
24,25,53871,53871,2024-10-28,"This stop is cancelled due to roadworks, from October 28 2024 at 09h04 until the end of the roadworks."
25,26,50879,50879,2024-11-23,"This stop is cancelled due to a situation beyond our control, from November 23 2024 at 07h27 for an indefinite period."
26,27,51359,51359,2024-11-18,"This stop is cancelled due to roadworks, from November 18 2024 at 10h25 until the end of the roadworks."
27,28,50139,50139,2024-08-05,"This stop is cancelled due to roadworks, from August 5 2024 at 08h40 until the end of the roadworks."
28,29,50300,50300,2024-11-21,"This stop is cancelled due to roadworks, from November 21 2024 at 13h21 until the end of the roadworks."
29,30,50297,50297,2024-09-18,"This stop is cancelled due to roadworks, from September 18 2024 at 14h14 until the end of the roadworks."
30,31,50303,50303,2024-08-14,"This stop is cancelled due to roadworks, from August 14 2024 at 10h20 until the end of the roadworks."
31,32,50301,50301,2024-08-08,"This stop is cancelled due to roadworks, from August 8 2024 at 07h49 until the end of the roadworks."
32,33,52425,52425,2024-08-29,"This stop is cancelled due to roadworks, from August 29 2024 at 16h39 until the end of the roadworks."
33,34,60825,60825,2024-09-05,"This stop is cancelled due to roadworks, from September 5 2024 at 12h07 until the end of the roadworks."
34,35,53297,53297,2024-08-05,"This stop is cancelled due to roadworks, from August 5 2024 at 10h50 until the end of the roadworks."
35,36,60396,60396,2024-04-06,"This stop is cancelled due to roadworks, from April 6 2024 at 00h00 until the end of the roadworks."
36,37,51330,51330,2024-11-21,"This stop is cancelled due to roadworks, from November 21 2024 at 13h51 until the end of the roadworks."
37,38,51477,51477,2024-11-20,"This stop is cancelled due to a situation beyond our control, from November 20 2024 at 12h18 for an indefinite period."
38,39,52192,52192,2024-11-26,"This stop is cancelled due to roadworks, from November 26 2024 at 08h31 until the end of the roadworks."
39,40,50579,50579,2024-06-17,"This stop is cancelled due to roadworks, from June 17 2024 at 09h10 until the end of the roadworks."
40,41,60870,60870,2024-08-26,"This stop is cancelled due to a situation beyond our control, from August 26 2024 at 01h45 for an indefinite period."
41,42,51372,51372,2024-10-31,"This stop is cancelled due to roadworks, from October 31 2024 at 09h10 until the end of the roadworks."
42,43,51111,51111,2024-10-28,"This stop is cancelled due to roadworks, from October 28 2024 at 08h15 until the end of the roadworks."
43,44,51028,51028,2024-09-18,"This stop is cancelled due to roadworks, from September 18 2024 at 06h07 until the end of the roadworks."
44,45,51029,51029,2024-09-19,"This stop is cancelled due to roadworks, from September 19 2024 at 10h40 until the end of the roadworks."
45,46,62336,62336,2024-11-18,"This stop is cancelled due to roadworks, from November 18 2024 at 09h06 until the end of the roadworks."
46,47,60875,60875,2024-08-26,"This stop is cancelled due to a situation beyond our control, from August 26 2024 at 01h45 for an indefinite period."
47,48,60875,60875,2024-08-26,"This stop is cancelled due to a situation beyond our control, from August 26 2024 at 01h45 for an indefinite period."
48,49,56184,56184,2024-03-05,"This stop is cancelled due to roadworks, from March 5 2024 at 08h17 until the end of the roadworks."
49,50,55594,55594,2024-09-25,"This stop is cancelled due to roadworks, from September 25 2024 at 11h29 until the end of the roadworks."
50,51,50442,50442,2022-11-24,"This stop is cancelled due to a situation beyond our control, from November 24 2022 at 07h12 for an indefinite period."
51,52,56024,56024,2024-11-04,"This stop is cancelled due to roadworks, from November 4 2024 at 09h29 until the end of the roadworks."
52,53,56225,56225,2023-05-23,"This stop is cancelled due to roadworks, from May 23 2023 at 14h16 until the end of the roadworks."
53,54,61355,61355,2024-11-10,"This stop is cancelled due to a situation beyond our control, from November 10 2024 at 11h09 for an indefinite period."
54,55,52680,52680,2024-03-27,"This stop is cancelled due to a situation beyond our control, from March 27 2024 at 08h42 for an indefinite period."
55,56,52679,52679,2024-07-10,"This stop is cancelled due to roadworks, from July 10 2024 at 03h28 until the end of the roadworks."
56,57,60249,60249,2024-08-29,"This stop is cancelled due to a situation beyond our control, from August 29 2024 at 05h40 for an indefinite period."
57,58,60681,60681,2023-12-11,"This stop is cancelled due to road conditions, from December 11 2023 at 15h32 for an indefinite period."
58,59,53032,53032,2024-06-18,"This stop is cancelled due to roadworks, from June 18 2024 at 19h42 until the end of the roadworks."
59,60,52149,52149,2023-09-07,"This stop is cancelled due to roadworks, from September 7 2023 at 07h41 until the end of the roadworks."
60,61,56190,56190,2024-11-14,"This stop is cancelled due to roadworks, from November 14 2024 at 20h17 until the end of the roadworks."
61,62,50300,50300,2024-11-21,"This stop is cancelled due to roadworks, from November 21 2024 at 13h21 until the end of the roadworks."
62,63,50297,50297,2024-09-18,"This stop is cancelled due to roadworks, from September 18 2024 at 14h14 until the end of the roadworks."
63,64,50270,50270,2024-09-09,"This stop is cancelled due to roadworks, from September 9 2024 at 14h47 until the end of the roadworks."
64,65,50303,50303,2024-08-14,"This stop is cancelled due to roadworks, from August 14 2024 at 10h20 until the end of the roadworks."
65,66,50301,50301,2024-08-08,"This stop is cancelled due to roadworks, from August 8 2024 at 07h49 until the end of the roadworks."
66,67,51626,51626,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
67,68,50692,50692,2022-09-02,"This stop is cancelled due to a situation beyond our control, from September 2 2022 at 22h25 for an indefinite period."
68,69,51627,51627,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
69,70,51626,51626,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
70,71,51627,51627,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
71,72,50300,50300,2024-11-21,"This stop is cancelled due to roadworks, from November 21 2024 at 13h21 until the end of the roadworks."
72,73,50297,50297,2024-09-18,"This stop is cancelled due to roadworks, from September 18 2024 at 14h14 until the end of the roadworks."
73,74,50303,50303,2024-08-14,"This stop is cancelled due to roadworks, from August 14 2024 at 10h20 until the end of the roadworks."
74,75,55594,55594,2024-09-25,"This stop is cancelled due to roadworks, from September 25 2024 at 11h29 until the end of the roadworks."
75,76,50301,50301,2024-08-08,"This stop is cancelled due to roadworks, from August 8 2024 at 07h49 until the end of the roadworks."
76,77,55594,55594,2024-09-25,"This stop is cancelled due to roadworks, from September 25 2024 at 11h29 until the end of the roadworks."
77,78,55897,55897,2024-09-25,"This stop is cancelled due to a situation beyond our control, from September 25 2024 at 05h26 for an indefinite period."
78,79,50204,50204,2024-09-23,"This stop is cancelled due to roadworks, from September 23 2024 at 11h44 until the end of the roadworks."
79,80,53207,53207,2024-11-18,"This stop is cancelled due to a situation beyond our control, from November 18 2024 at 06h00 until December 31 2024 at 09h00."
80,81,54316,54316,2024-11-12,"This stop is cancelled due to roadworks, from November 12 2024 at 07h18 until the end of the roadworks."
81,82,53651,53651,2024-11-12,"This stop is cancelled due to roadworks, from November 12 2024 at 06h52 until the end of the roadworks."
82,83,54455,54455,2024-11-16,"This stop is cancelled due to roadworks, from November 16 2024 at 13h06 until the end of the roadworks."
83,84,51039,51039,2024-11-25,"This stop is cancelled due to roadworks, from November 25 2024 at 09h54 until the end of the roadworks."
84,85,52165,52165,2024-10-29,"This stop is cancelled due to roadworks, from October 29 2024 at 06h13 until the end of the roadworks."
85,86,52108,52108,2024-10-17,"This stop is cancelled due to roadworks, from October 17 2024 at 06h44 until the end of the roadworks."
86,87,55468,55468,2024-10-08,"This stop is cancelled due to roadworks, from October 8 2024 at 16h57 until the end of the roadworks."
87,88,57984,57984,2023-11-20,"This stop is cancelled due to roadworks, from November 20 2023 at 18h07 until the end of the roadworks."
88,89,55496,55496,2024-08-13,"This stop is cancelled due to roadworks, from August 13 2024 at 21h05 until the end of the roadworks."
89,90,53032,53032,2024-06-18,"This stop is cancelled due to roadworks, from June 18 2024 at 19h42 until the end of the roadworks."
90,91,52149,52149,2023-09-07,"This stop is cancelled due to roadworks, from September 7 2023 at 07h41 until the end of the roadworks."
91,92,53032,53032,2024-06-18,"This stop is cancelled due to roadworks, from June 18 2024 at 19h42 until the end of the roadworks."
92,93,52149,52149,2023-09-07,"This stop is cancelled due to roadworks, from September 7 2023 at 07h41 until the end of the roadworks."
93,94,61143,61143,2023-04-15,"This stop is cancelled due to roadworks, from April 15 2023 at 03h08 until the end of the roadworks."
94,95,50879,50879,2024-11-23,"This stop is cancelled due to a situation beyond our control, from November 23 2024 at 07h27 for an indefinite period."
95,96,51359,51359,2024-11-18,"This stop is cancelled due to roadworks, from November 18 2024 at 10h25 until the end of the roadworks."
96,97,52192,52192,2024-11-26,"This stop is cancelled due to roadworks, from November 26 2024 at 08h31 until the end of the roadworks."
97,98,52149,52149,2023-09-07,"This stop is cancelled due to roadworks, from September 7 2023 at 07h41 until the end of the roadworks."
98,99,60681,60681,2023-12-11,"This stop is cancelled due to road conditions, from December 11 2023 at 15h32 for an indefinite period."
99,100,61968,61968,2023-11-13,"This stop is cancelled due to roadworks, from November 13 2023 at 06h29 until the end of the roadworks."
100,101,54455,54455,2024-11-16,"This stop is cancelled due to roadworks, from November 16 2024 at 13h06 until the end of the roadworks."
101,102,53297,53297,2024-08-05,"This stop is cancelled due to roadworks, from August 5 2024 at 10h50 until the end of the roadworks."
102,103,50300,50300,2024-11-21,"This stop is cancelled due to roadworks, from November 21 2024 at 13h21 until the end of the roadworks."
103,104,50294,50294,2024-11-20,"This stop is cancelled due to roadworks, from November 20 2024 at 15h03 until the end of the roadworks."
104,105,51149,51149,2024-09-12,"This stop is cancelled due to roadworks, from September 12 2024 at 08h46 until the end of the roadworks."
105,106,50303,50303,2024-08-14,"This stop is cancelled due to roadworks, from August 14 2024 at 10h20 until the end of the roadworks."
106,107,50301,50301,2024-08-08,"This stop is cancelled due to roadworks, from August 8 2024 at 07h49 until the end of the roadworks."
107,108,53032,53032,2024-06-18,"This stop is cancelled due to roadworks, from June 18 2024 at 19h42 until the end of the roadworks."
108,109,52149,52149,2023-09-07,"This stop is cancelled due to roadworks, from September 7 2023 at 07h41 until the end of the roadworks."
109,110,50204,50204,2024-09-23,"This stop is cancelled due to roadworks, from September 23 2024 at 11h44 until the end of the roadworks."
110,111,52679,52679,2024-07-10,"This stop is cancelled due to roadworks, from July 10 2024 at 03h28 until the end of the roadworks."
111,112,50780,50780,2024-07-03,"This stop is cancelled due to a situation beyond our control, from July 3 2024 at 01h30 for an indefinite period."
112,113,55755,55755,2024-05-15,"This stop is cancelled due to roadworks, from May 15 2024 at 06h22 until the end of the roadworks."
113,114,56184,56184,2024-03-05,"This stop is cancelled due to roadworks, from March 5 2024 at 08h17 until the end of the roadworks."
114,115,51626,51626,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
115,116,51627,51627,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
116,117,52149,52149,2023-09-07,"This stop is cancelled due to roadworks, from September 7 2023 at 07h41 until the end of the roadworks."
117,118,56190,56190,2024-11-14,"This stop is cancelled due to roadworks, from November 14 2024 at 20h17 until the end of the roadworks."
118,119,52165,52165,2024-10-29,"This stop is cancelled due to roadworks, from October 29 2024 at 06h13 until the end of the roadworks."
119,120,52108,52108,2024-10-17,"This stop is cancelled due to roadworks, from October 17 2024 at 06h44 until the end of the roadworks."
120,121,55594,55594,2024-09-25,"This stop is cancelled due to roadworks, from September 25 2024 at 11h29 until the end of the roadworks."
121,122,51885,51885,2024-06-14,"This stop is cancelled due to roadworks, from June 14 2024 at 10h19 until the end of the roadworks."
122,123,51851,51851,2024-05-31,"This stop is cancelled due to roadworks, from May 31 2024 at 00h00 until the end of the roadworks."
123,124,52052,52052,2024-08-14,"This stop is cancelled due to roadworks, from August 14 2024 at 06h13 until the end of the roadworks."
124,125,51330,51330,2024-11-21,"This stop is cancelled due to roadworks, from November 21 2024 at 13h51 until the end of the roadworks."
125,126,51477,51477,2024-11-20,"This stop is cancelled due to a situation beyond our control, from November 20 2024 at 12h18 for an indefinite period."
126,127,54576,54576,2023-10-17,"This stop is cancelled due to roadworks, from October 17 2023 at 00h55 until the end of the roadworks."
127,128,56120,56120,2024-04-16,"This stop is cancelled due to roadworks, from April 16 2024 at 20h31 until the end of the roadworks."
128,129,55468,55468,2024-10-08,"This stop is cancelled due to roadworks, from October 8 2024 at 16h57 until the end of the roadworks."
129,130,56120,56120,2024-04-16,"This stop is cancelled due to roadworks, from April 16 2024 at 20h31 until the end of the roadworks."
130,131,50442,50442,2022-11-24,"This stop is cancelled due to a situation beyond our control, from November 24 2022 at 07h12 for an indefinite period."
131,132,50300,50300,2024-11-21,"This stop is cancelled due to roadworks, from November 21 2024 at 13h21 until the end of the roadworks."
132,133,50297,50297,2024-09-18,"This stop is cancelled due to roadworks, from September 18 2024 at 14h14 until the end of the roadworks."
133,134,50303,50303,2024-08-14,"This stop is cancelled due to roadworks, from August 14 2024 at 10h20 until the end of the roadworks."
134,135,50301,50301,2024-08-08,"This stop is cancelled due to roadworks, from August 8 2024 at 07h49 until the end of the roadworks."
135,136,50139,50139,2024-08-05,"This stop is cancelled due to roadworks, from August 5 2024 at 08h40 until the end of the roadworks."
136,137,57984,57984,2023-11-20,"This stop is cancelled due to roadworks, from November 20 2023 at 18h07 until the end of the roadworks."
137,138,53651,53651,2024-11-25,"This stop is cancelled due to roadworks, from November 25 2024 at 15h01 until the end of the roadworks."
138,139,53032,53032,2024-06-18,"This stop is cancelled due to roadworks, from June 18 2024 at 19h42 until the end of the roadworks."
139,140,53032,53032,2024-06-18,"This stop is cancelled due to roadworks, from June 18 2024 at 19h42 until the end of the roadworks."
140,141,53032,53032,2024-06-18,"This stop is cancelled due to roadworks, from June 18 2024 at 19h42 until the end of the roadworks."
141,142,61805,61805,2024-06-12,"This stop is cancelled due to a situation beyond our control, from June 12 2024 at 06h00 for an indefinite period."
142,143,55468,55468,2024-10-08,"This stop is cancelled due to roadworks, from October 8 2024 at 16h57 until the end of the roadworks."
143,144,51626,51626,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
144,145,52679,52679,2024-07-10,"This stop is cancelled due to roadworks, from July 10 2024 at 03h28 until the end of the roadworks."
145,146,50692,50692,2022-09-02,"This stop is cancelled due to a situation beyond our control, from September 2 2022 at 22h25 for an indefinite period."
146,147,51627,51627,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
147,148,50139,50139,2024-08-05,"This stop is cancelled due to roadworks, from August 5 2024 at 08h40 until the end of the roadworks."
148,149,52679,52679,2024-07-10,"This stop is cancelled due to roadworks, from July 10 2024 at 03h28 until the end of the roadworks."
149,150,54316,54316,2024-11-12,"This stop is cancelled due to roadworks, from November 12 2024 at 07h18 until the end of the roadworks."
150,151,54316,54316,2024-11-12,"This stop is cancelled due to roadworks, from November 12 2024 at 07h18 until the end of the roadworks."
151,152,54351,54351,2023-06-02,"This stop is cancelled due to a situation beyond our control, from June 2 2023 at 14h01 for an indefinite period."
152,153,61611,61611,2023-01-10,"This stop is cancelled due to a situation beyond our control, from January 10 2023 at 11h41 for an indefinite period."
153,154,52662,52662,2024-07-08,"This stop is cancelled due to a situation beyond our control, from July 8 2024 at 17h06 for an indefinite period."
